MARINS
RCHRES1
FLOW

Date          DSN 1001
1999/ 1/ 1      3.7721
1999/ 1/ 2      5.4748
1999/ 1/ 3      6.6736
1999/ 1/ 4      7.1322
1999/ 1/ 5      7.1114
1999/ 1/ 6      6.9119
1999/ 1/ 7      6.6868
1999/ 1/ 8      6.0416
1999/ 1/ 9      5.8688
1999/ 1/10      5.9261
1999/ 1/11      5.7207
1999/ 1/12      5.2936
1999/ 1/13      5.2293
1999/ 1/14      5.2932
1999/ 1/15      5.3603
1999/ 1/16     17.7297
1999/ 1/17      8.2678
1999/ 1/18    248.0557
1999/ 1/19     70.7788
1999/ 1/20    301.1057
1999/ 1/21     69.2639
1999/ 1/22     39.4385
1999/ 1/23    304.0660
1999/ 1/24     73.1126
1999/ 1/25     38.9426
1999/ 1/26     57.0769
1999/ 1/27     23.6674
1999/ 1/28     18.2371
1999/ 1/29     15.9536
1999/ 1/30     15.0848
1999/ 1/31     13.3229
1999/ 2/ 1     11.6236
1999/ 2/ 2      9.9425
1999/ 2/ 3      8.9633
1999/ 2/ 4      8.3883
1999/ 2/ 5      7.9459
1999/ 2/ 6    363.9620
1999/ 2/ 7   2119.2390
1999/ 2/ 8    373.0285
1999/ 2/ 9    798.8193
1999/ 2/10    211.3778
1999/ 2/11    109.6653
1999/ 2/12     71.1863
1999/ 2/13     46.2208
1999/ 2/14     38.5049
1999/ 2/15     27.1345
1999/ 2/16    208.8783
1999/ 2/17    373.1583
1999/ 2/18    220.2034
1999/ 2/19    106.1084
1999/ 2/20    112.7817
1999/ 2/21    156.4994
1999/ 2/22    113.9096
1999/ 2/23     55.2878
1999/ 2/24     40.0124
1999/ 2/25    351.9985
1999/ 2/26     59.8633
1999/ 2/27     34.9772
1999/ 2/28     31.2679
1999/ 3/ 1     22.8055
1999/ 3/ 2     19.8751
1999/ 3/ 3    124.3804
1999/ 3/ 4     34.0311
1999/ 3/ 5     24.5607
1999/ 3/ 6     20.4907
1999/ 3/ 7     16.9358
1999/ 3/ 8    157.5991
1999/ 3/ 9    130.0070
1999/ 3/10     57.1436
1999/ 3/11     34.6998
1999/ 3/12     24.2586
1999/ 3/13     19.7358
1999/ 3/14     21.9644
1999/ 3/15     32.2151
1999/ 3/16     15.7493
1999/ 3/17     13.2256
1999/ 3/18     13.1077
1999/ 3/19     12.6932
1999/ 3/20     11.4298
1999/ 3/21     13.7832
1999/ 3/22     10.6205
1999/ 3/23     34.6395
1999/ 3/24     38.2091
1999/ 3/25    300.2531
1999/ 3/26     75.1085
1999/ 3/27     39.3988
1999/ 3/28     24.8869
1999/ 3/29     18.5854
1999/ 3/30     14.5481
1999/ 3/31     54.7881
1999/ 4/ 1     19.4882
1999/ 4/ 2     13.7422
1999/ 4/ 3     11.4909
1999/ 4/ 4      9.3615
1999/ 4/ 5     77.1906
1999/ 4/ 6     34.0273
1999/ 4/ 7     18.1477
1999/ 4/ 8    101.2747
1999/ 4/ 9     32.7583
1999/ 4/10     22.8543
1999/ 4/11    513.1486
1999/ 4/12    100.3383
1999/ 4/13     47.3480
1999/ 4/14     28.6977
1999/ 4/15     20.1101
1999/ 4/16     14.8540
1999/ 4/17     12.1795
1999/ 4/18     10.0638
1999/ 4/19      8.3694
1999/ 4/20      7.2400
1999/ 4/21      6.3994
1999/ 4/22      5.6958
1999/ 4/23      5.0243
1999/ 4/24      5.0059
1999/ 4/25      5.1847
1999/ 4/26      5.3184
1999/ 4/27      5.1048
1999/ 4/28      4.8377
1999/ 4/29      4.4989
1999/ 4/30      4.3188
1999/ 5/ 1      4.4713
1999/ 5/ 2      5.1644
1999/ 5/ 3      5.5733
1999/ 5/ 4      4.7390
1999/ 5/ 5      4.2080
1999/ 5/ 6      4.0319
1999/ 5/ 7      3.8024
1999/ 5/ 8      3.6933
1999/ 5/ 9      3.6803
1999/ 5/10      3.8317
1999/ 5/11      3.7327
1999/ 5/12      3.6665
1999/ 5/13      3.6722
1999/ 5/14      3.6622
1999/ 5/15      3.6461
1999/ 5/16      3.5914
1999/ 5/17      3.5556
1999/ 5/18      3.5646
1999/ 5/19      3.7345
1999/ 5/20      3.6962
1999/ 5/21      3.5474
1999/ 5/22      3.3026
1999/ 5/23      3.2512
1999/ 5/24      3.3554
1999/ 5/25      3.3799
1999/ 5/26      3.3466
1999/ 5/27      3.3331
1999/ 5/28      3.3030
1999/ 5/29      3.3506
1999/ 5/30      3.3448
1999/ 5/31      3.2965
1999/ 6/ 1      3.3231
1999/ 6/ 2      3.4451
1999/ 6/ 3      3.5681
1999/ 6/ 4      3.3583
1999/ 6/ 5      3.1339
1999/ 6/ 6      2.9731
1999/ 6/ 7      2.8874
1999/ 6/ 8      2.8672
1999/ 6/ 9      2.8439
1999/ 6/10      2.7707
1999/ 6/11      2.6595
1999/ 6/12      2.6423
1999/ 6/13      2.6598
1999/ 6/14      2.6032
1999/ 6/15      2.6140
1999/ 6/16      2.6728
1999/ 6/17      2.6403
1999/ 6/18      2.6571
1999/ 6/19      2.6094
1999/ 6/20      2.5880
1999/ 6/21      2.5071
1999/ 6/22      2.4271
1999/ 6/23      2.4447
1999/ 6/24      2.4658
1999/ 6/25      2.5269
1999/ 6/26      2.5258
1999/ 6/27      2.4597
1999/ 6/28      2.3917
1999/ 6/29      2.3417
1999/ 6/30      2.3024
1999/ 7/ 1      2.3141
1999/ 7/ 2      2.3755
1999/ 7/ 3      2.4311
1999/ 7/ 4      2.4883
1999/ 7/ 5      2.4172
1999/ 7/ 6      2.3720
1999/ 7/ 7      2.3866
1999/ 7/ 8      2.3206
1999/ 7/ 9      2.2889
1999/ 7/10      2.3166
1999/ 7/11      2.2944
1999/ 7/12      2.2529
1999/ 7/13      2.4447
1999/ 7/14      2.5032
1999/ 7/15      2.5649
1999/ 7/16      2.5590
1999/ 7/17      2.4607
1999/ 7/18      2.3884
1999/ 7/19      2.4248
1999/ 7/20      2.4697
1999/ 7/21      2.4315
1999/ 7/22      2.3554
1999/ 7/23      2.3739
1999/ 7/24      2.4025
1999/ 7/25      2.3557
1999/ 7/26      2.2737
1999/ 7/27      2.2658
1999/ 7/28      2.2770
1999/ 7/29      2.2583
1999/ 7/30      2.2633
1999/ 7/31      2.2923
1999/ 8/ 1      2.2693
1999/ 8/ 2      2.2123
1999/ 8/ 3      2.1709
1999/ 8/ 4      2.2171
1999/ 8/ 5      2.3054
1999/ 8/ 6      2.4382
1999/ 8/ 7      2.4161
1999/ 8/ 8      2.3724
1999/ 8/ 9      2.3855
1999/ 8/10      2.4187
1999/ 8/11      2.5614
1999/ 8/12      2.4107
1999/ 8/13      2.2654
1999/ 8/14      2.1787
1999/ 8/15      2.1652
1999/ 8/16      2.1642
1999/ 8/17      2.1459
1999/ 8/18      2.1508
1999/ 8/19      2.1570
1999/ 8/20      2.1313
1999/ 8/21      2.1324
1999/ 8/22      2.1311
1999/ 8/23      2.0978
1999/ 8/24      2.0797
1999/ 8/25      2.0304
1999/ 8/26      2.0942
1999/ 8/27      2.1019
1999/ 8/28      2.0811
1999/ 8/29      2.1639
1999/ 8/30      2.0222
1999/ 8/31      1.9237
1999/ 9/ 1      1.9242
1999/ 9/ 2      1.9749
1999/ 9/ 3      2.2243
1999/ 9/ 4      2.3220
1999/ 9/ 5      2.2366
1999/ 9/ 6      2.0558
1999/ 9/ 7      2.0078
1999/ 9/ 8      2.2415
1999/ 9/ 9      2.4411
1999/ 9/10      2.4308
1999/ 9/11      2.5352
1999/ 9/12      2.4562
1999/ 9/13      2.3700
1999/ 9/14      2.4097
1999/ 9/15      2.4212
1999/ 9/16      2.3548
1999/ 9/17      2.3862
1999/ 9/18      2.3925
1999/ 9/19      2.4756
1999/ 9/20      2.3250
1999/ 9/21      2.3102
1999/ 9/22      2.4658
1999/ 9/23      2.3867
1999/ 9/24      2.2537
1999/ 9/25      2.1449
1999/ 9/26      2.0357
1999/ 9/27      1.9754
